City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Svetlogorsk,BY,2021-07-25 16:47:48,52.6333,29.7333,71.76,65,63,2.98
59,La Asuncion,VE,2021-07-25 16:47:48,11.0333,-63.8628,83.19,71,95,11.81
60,Mao,ES,2021-07-25 16:43:16,39.8885,4.2658,79.36,65,0,14.97
61,Maragogi,BR,2021-07-25 16:47:48,-9.0122,-35.2225,77.2,79,34,13.22
62,Codrington,AU,2021-07-25 16:44:22,-38.2667,141.9667,49.44,93,97,14.72
63,New Norfolk,AU,2021-07-25 16:45:15,-42.7826,147.0587,42.3,71,74,3.0
64,White Rock,CA,2021-07-25 16:47:25,49.0164,-122.8026,75.76,71,0,4.0
65,Nikolskoye,RU,2021-07-25 16:42:52,59.7035,30.7861,71.49,54,59,3.49
66,Ixtapa,MX,2021-07-25 16:43:31,20.7,-105.2,88.23,62,1,2.3
67,Pangnirtung,CA,2021-07-25 16:42:51,66.1451,-65.7125,55.4,82,90,13.8
68,Avarua,CK,2021-07-25 16:47:49,-21.2078,-159.775,73.45,94,90,11.5
69,Bay Roberts,CA,2021-07-25 16:47:49,47.5999,-53.2648,63.05,84,98,4.0
70,Kalmunai,LK,2021-07-25 16:47:49,7.4167,81.8167,83.05,71,100,5.99
71,Kampot,KH,2021-07-25 16:47:50,10.6167,104.1833,78.85,87,84,7.7
72,Bambous Virieux,MU,2021-07-25 16:47:50,-20.3428,57.7575,71.85,56,40,11.5
73,Ales,FR,2021-07-25 16:47:50,44.1333,4.0833,92.77,33,92,7.4
74,La Union,PE,2021-07-25 16:47:51,-5.4,-80.75,79.41,52,15,5.75
75,Carnarvon,AU,2021-07-25 16:47:51,-24.8667,113.6333,59.07,69,0,9.22
76,Longhua,CN,2021-07-25 16:47:51,23.6137,114.1919,82.67,81,92,1.52
77,Saskylakh,RU,2021-07-25 16:47:51,71.9167,114.0833,53.78,80,48,7.02
78,Gazli,UZ,2021-07-25 16:47:52,40.1333,63.45,101.32,11,0,15.75
79,Victoria,HK,2021-07-25 16:46:46,22.2855,114.1577,86.38,82,6,1.99
80,Samarai,PG,2021-07-25 16:47:52,-10.6167,150.6667,78.8,80,100,18.84
81,Kohima,IN,2021-07-25 16:47:52,25.6667,94.1167,67.12,97,100,2.86
82,Zhaotong,CN,2021-07-25 16:47:53,27.3167,103.7167,60.58,91,6,2.08
83,Severo-Kurilsk,RU,2021-07-25 16:45:18,50.6789,156.125,53.44,98,83,3.22
84,Adrar,MR,2021-07-25 16:47:53,20.5022,-10.0711,111.42,7,32,8.08
85,Akureyri,IS,2021-07-25 16:47:53,65.6835,-18.0878,57.13,58,75,12.66
86,Clyde River,CA,2021-07-25 16:45:09,70.4692,-68.5914,35.83,100,90,11.5
87,Pastavy,BY,2021-07-25 16:47:54,55.1168,26.8326,72.79,57,15,4.18
88,Padang,ID,2021-07-25 16:47:54,-0.9492,100.3543,77.05,85,24,3.18
89,Peleduy,RU,2021-07-25 16:47:54,59.6289,112.7406,61.14,65,34,3.78
90,Bairnsdale,AU,2021-07-25 16:47:55,-37.8333,147.6167,54.7,69,58,1.99
91,Markova,UA,2021-07-25 16:47:55,48.6758,24.4138,74.79,79,63,3.98
92,Sokolo,ML,2021-07-25 16:47:55,14.7328,-6.1219,95.16,38,36,4.74
93,Ostrovnoy,RU,2021-07-25 16:47:55,68.0531,39.5131,46.49,84,94,17.72
94,Batticaloa,LK,2021-07-25 16:47:56,7.7102,81.6924,84.02,67,100,6.51
95,Hilo,US,2021-07-25 16:47:29,19.7297,-155.09,75.79,93,90,6.91
96,Tiznit,MA,2021-07-25 16:47:56,29.5833,-9.5,88.57,31,0,8.84
97,Geraldton,AU,2021-07-25 16:43:12,-28.7667,114.6,48.61,93,0,11.5
98,Atuona,PF,2021-07-25 16:47:45,-9.8,-139.0333,77.2,72,45,23.53
99,Vega De Alatorre,MX,2021-07-25 16:47:56,20.0333,-96.6333,84.7,66,6,4.68
100,Kananga,CD,2021-07-25 16:47:57,-5.8958,22.4178,80.29,27,62,4.43
101,Sao Filipe,CV,2021-07-25 16:47:57,14.8961,-24.4956,74.35,73,58,7.4
102,Porkhov,RU,2021-07-25 16:47:57,57.765,29.5561,76.89,58,40,1.97
103,Urzhum,RU,2021-07-25 16:47:58,57.1141,49.9996,59.16,54,76,3.44
104,Lerwick,GB,2021-07-25 16:47:58,60.1545,-1.1494,60.8,79,23,8.46
105,Calama,CL,2021-07-25 16:43:02,-22.4667,-68.9333,64.89,10,75,5.75
106,Barrow,US,2021-07-25 16:47:58,71.2906,-156.7887,41.02,93,90,9.22
107,Vallenar,CL,2021-07-25 16:47:58,-28.5708,-70.7581,66.67,30,0,4.99
108,Urucara,BR,2021-07-25 16:47:59,-2.5364,-57.76,94.93,33,52,5.57
109,Hermanus,ZA,2021-07-25 16:47:59,-34.4187,19.2345,56.8,56,100,6.26
110,Hithadhoo,MV,2021-07-25 16:47:59,-0.6,73.0833,80.82,76,84,3.2
111,Scituate,US,2021-07-25 16:48:00,42.1959,-70.7259,71.22,89,75,1.99
112,Yankton,US,2021-07-25 16:48:00,42.8711,-97.3973,86.11,61,1,6.91
113,Ghanzi,BW,2021-07-25 16:48:00,-21.5667,21.7833,55.33,45,0,9.24
114,Mahebourg,MU,2021-07-25 16:48:01,-20.4081,57.7,71.89,56,40,11.5
