City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Current Description
68,Arraial Do Cabo,BR,-22.9661,-42.0278,71.24,84,1,25.57,clear sky
69,Pimentel,PE,-6.8367,-79.9342,66.0,85,66,5.99,broken clouds
70,Jarocin,PL,51.9727,17.5026,70.43,72,23,1.57,few clouds
71,Rabak,SD,13.1809,32.74,76.06,76,57,14.12,broken clouds
72,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.87,87,2,20.22,clear sky
73,Casper,US,42.8666,-106.3131,97.39,12,1,10.0,clear sky
74,Vaini,TO,-21.2,-175.2,69.96,88,75,6.91,broken clouds
75,Ponta Do Sol,PT,32.6667,-17.1,74.01,71,3,5.39,clear sky
76,Mahajanga,MG,-15.7167,46.3167,68.02,83,20,5.75,few clouds
77,Sibu,MY,2.3,111.8167,79.11,83,20,5.75,few clouds
78,Kalmunai,LK,7.4167,81.8167,81.07,70,100,3.65,overcast clouds
79,Richards Bay,ZA,-28.783,32.0377,61.61,69,1,15.41,clear sky
80,Khonsa,IN,27.0167,95.5667,72.39,91,100,3.69,overcast clouds
81,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,94,75,3.44,broken clouds
82,Mutsu,JP,41.2894,141.2169,75.52,88,79,18.12,broken clouds
83,Marolambo,MG,-20.05,48.1167,52.2,94,2,3.49,clear sky
84,Grindavik,IS,63.8424,-22.4338,51.75,87,0,14.97,clear sky
85,Tilichiki,RU,60.4667,166.1,57.52,63,100,13.91,overcast clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,96.62,58,1,13.8,clear sky
87,Tuatapere,NZ,-46.1333,167.6833,52.83,65,56,1.9,broken clouds
88,Bristol,US,41.8334,-71.1662,78.89,74,20,1.01,few clouds
89,Airai,TL,-8.9266,125.4092,71.67,37,48,4.76,scattered clouds
90,Hobart,AU,-42.8794,147.3294,57.25,70,75,7.0,broken clouds
91,Terrace,CA,54.5163,-128.6035,71.51,43,75,5.75,broken clouds
92,Caravelas,BR,-17.7125,-39.2481,72.45,83,0,8.81,clear sky
93,Along,IN,28.1667,94.7667,79.84,82,61,0.76,broken clouds
94,Tiksi,RU,71.6872,128.8694,40.96,82,27,14.09,scattered clouds
95,Deneysville,ZA,-26.8908,28.0971,38.05,60,0,3.27,clear sky
96,Port Elizabeth,ZA,-33.918,25.5701,57.49,88,0,16.11,clear sky
97,Gondanglegi,ID,-7.7479,112.0132,79.05,70,3,13.69,clear sky
98,Pisco,PE,-13.7,-76.2167,63.01,82,0,19.57,clear sky
99,Upernavik,GL,72.7868,-56.1549,51.55,69,100,11.9,overcast clouds
100,Alta Floresta,BR,-9.8756,-56.0861,76.12,38,1,3.29,clear sky
101,Cidreira,BR,-30.1811,-50.2056,47.98,54,4,17.98,clear sky
102,Mao,ES,39.8885,4.2658,73.96,83,0,4.61,clear sky
103,Nanortalik,GL,60.1432,-45.2371,45.23,81,100,6.33,overcast clouds
104,Lanzhou,CN,36.0564,103.7922,63.68,59,5,5.06,clear sky
105,New Norfolk,AU,-42.7826,147.0587,56.91,72,94,4.0,light rain
106,Quzhou,CN,28.9594,118.8686,84.15,81,59,5.06,broken clouds
107,Thompson,CA,55.7435,-97.8558,75.36,46,75,11.5,broken clouds
108,Hasaki,JP,35.7333,140.8333,84.49,80,66,18.32,broken clouds
109,Ilulissat,GL,69.2167,-51.1,55.42,67,100,3.44,overcast clouds
