City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
495,Salamiyah,SY,75.25,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
498,Namyslow,PL,70.32,broken clouds,51.0759,17.7228,Hotel Zorza
499,Santa Cruz De La Palma,ES,73.54,overcast clouds,28.6835,-17.7642,H10 Taburiente Playa
500,Tadine,NC,70.57,overcast clouds,-21.55,167.8833,
505,Uruzgan,AF,76.41,overcast clouds,32.8333,66.0,
506,Hobyo,SO,76.57,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
507,Kisangani,CD,74.93,overcast clouds,0.5167,25.2,Grand Ramela Hotel
516,Wukari,NG,70.07,overcast clouds,7.85,9.7833,Elimtop
521,Kilindoni,TZ,75.85,clear sky,-7.9139,39.6668,Bustani B&B
523,Uruacu,BR,71.76,clear sky,-14.5247,-49.1408,Cassius Hotel
524,Axim,GH,75.76,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
533,Bartica,GY,79.12,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
534,Ananindeua,BR,78.71,scattered clouds,-1.3656,-48.3722,Mayra Alves
535,Kutum,SD,71.02,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
537,Bagru,IN,79.14,overcast clouds,26.8088,75.5423,Nandan Green Housed Limited
540,Algiers,DZ,76.82,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
545,Pangai,TO,71.71,light rain,-19.8,-174.35,Ha'apai Beach Resort
552,Jawhar,SO,73.8,overcast clouds,2.7809,45.5005,hantiwadaag village part one
553,Biltine,TD,76.64,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
557,Popondetta,PG,74.01,overcast clouds,-8.7537,148.2534,Timos Transit House
559,Ipixuna,BR,78.75,clear sky,-1.7625,-48.8043,Casa da Oscarina
562,Lafia,NG,70.9,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
563,Damghan,IR,77.61,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
565,Itarema,BR,77.94,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
572,Kaspiyskiy,RU,71.91,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
574,Sakata,JP,71.78,mist,38.9167,139.855,Hotel Rich & Garden Sakata
584,Mnogovershinnyy,RU,72.93,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
585,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
589,Darnah,LY,77.58,clear sky,32.766999999999996,22.6367,فندق الفردوس
592,Two Rivers,US,75.69,overcast clouds,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
595,Moerai,PF,74.01,overcast clouds,-22.4333,-151.3333,Le Manotel
599,Kosonsoy,UZ,73.96,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
603,Bara,NG,71.15,light rain,10.3744,10.7288,
604,Zabalj,RS,75.9,overcast clouds,45.3722,20.0639,Odiseja
607,Anzio,IT,77.86,clear sky,41.4853,12.6179,Beauty Hotel & SPA
608,Casablanca,MA,73.62,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
610,Oum Hadjer,TD,74.39,overcast clouds,13.2954,19.6966,
613,Makarska,HR,75.34,scattered clouds,43.2969,17.0178,Hotel Park Makarska
616,Csavoly,HU,74.77,broken clouds,46.1892,19.1467,
618,Les Cayes,HT,79.54,overcast clouds,18.2,-73.75,Villa Orphee
619,Sioux Lookout,CA,79.18,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
624,Mackay,AU,73.69,broken clouds,-21.15,149.2,International Lodge Motel
626,Cabra,ES,76.66,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
627,Praia Da Vitoria,PT,72.75,broken clouds,38.7333,-27.0667,Hotel Branco I
629,Ryotsu,JP,78.76,few clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
630,Santa Maria Do Para,BR,73.27,overcast clouds,-1.3503,-47.5756,Shopping Motel (Adults Only)
633,Takoradi,GH,75.2,overcast clouds,4.8845,-1.7554,Raybow International Hotel
634,Grand-Santi,GF,74.73,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
641,Bousso,TD,70.93,light rain,10.4795,16.7117,
644,Mokhsogollokh,RU,70.95,clear sky,61.4681,128.9203,
645,Osypenko,UA,73.83,few clouds,46.9136,36.8253,
647,Mongo,TD,71.78,moderate rain,12.1844,18.692999999999998,Résidences du Programme FIDA
651,Tianpeng,CN,77.47,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
660,Ciudad Bolivar,VE,77.41,overcast clouds,8.1222,-63.5497,Hotel Edi
663,Anage,BR,70.99,clear sky,-14.6122,-41.1356,Lagoa Torta Anage Bahia
665,Zhanaozen,KZ,73.94,overcast clouds,43.3,52.8,K.korabay 28A
676,Terme,TR,75.96,overcast clouds,41.2092,36.9739,OTEL GÜVEN TERME
679,Kathmandu,NP,70.02,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
